outcome,success,time,import,effort,successXimport,successXtime,successXeffort,train_error,test_error,data_version
flourishing_score,-0.1792662029879937,-0.005713654746722807,0.026620325701274337,-0.30626371971177063,0.18104578839098168,0.013431090767567178,0.39345676049958705,1.1718928338487444,1.1259828618950034,Interactions - 7 dimensions
harmony_score,-0.09000413188161473,-0.028645371172258238,-0.11058747624565718,-0.19526827077497078,0.20771706659768638,-0.0006889708883779084,0.35181988661713337,1.536400117201995,1.5236903697486517,Interactions - 7 dimensions
qol_score,-0.07885643069383438,-0.009834609795675464,-0.019194606047450425,-0.2287087359463017,0.10242630223988232,-0.06264373157046188,0.3330501927777052,0.7750714509433869,0.7692626398942268,Interactions - 7 dimensions
sat_life_score,-0.2256220161501232,-0.05073560088677348,-0.09180666621970868,-0.30532516343805394,0.21001037914454798,0.06928115379694971,0.44484309596177196,1.7529921861769366,1.8475773960826676,Interactions - 7 dimensions
sub_happy_score,-0.1650686363295323,0.06160091294677045,-0.026338719257798914,-0.3780307918803841,0.15456901410198678,-0.044296774156150964,0.4437873642707549,1.4670527217902953,1.380719870832451,Interactions - 7 dimensions
rosenberg_SES_score,-0.053350239001402976,0.02405064112194548,-0.03370762811586304,-0.1698193877196069,0.05699370194441561,-0.08261865487244344,0.25620991363671525,0.25687151564201294,0.25606981131817524,Interactions - 7 dimensions
DASS_overall_Reversed,-0.10973503536139892,-0.03858838502815602,-0.06572875807503396,-0.14283599846464726,0.082275681825878,-0.006107019288993855,0.18542507945653536,0.32112191080398966,0.31070866978367145,Interactions - 7 dimensions
perceived_stress_Reversed,0.05714570862345309,-0.01582834105298002,-0.08815190878014402,-0.10178932173794011,0.07967092145386878,-0.0860462298799242,0.125669395958356,0.34964870139814735,0.34418863506760894,Interactions - 7 dimensions
