ideal1,ideal2,ideal3,ought1,ought2,ought3
faithful,integrity,generous,kind,trustworthy,patient
kind,motivated,successful,selfless,caring,careful
charming,proactive,skilled,kind,balanced,sporty
king,hard working,energetic ,smart,friendly,generous
strong,carefree,brave,confident,considerate,hardworking
successful,athletic,enthusiastic,disciplined,motivated,empathetic
famous,rich,pretty,good,strong,smart
kind,thoughtful,determined,caring,tough,intelligent 
kind,patient,personable,loyalty,honest,professional
kind,honest,successful,responsible,open,punctual
bold,considerate,outgoing,confident,kind,articulate
smith,rosy,kimberly,john,bravo,remo
diciplined,efficient,blunt,caring,gentle,optimistic
kind,positive,calm,honest,friendly,helpful
passionate,understanding,knowledgeable ,responsible,unselfish,kind
funny,creative,humble,unselfish,articulate,gracious
generous,successful,confident,attentive,caring,intelligent
courageous,trustworthy,spiritual,spontanious,loyal,dependable
fit,rich,fair,successful,fulfilled,happy
compassionate,energetic,caring,kind,generous,soft hearted
generous,unselfish,understanding,responsible,ambitious,flexible
loyal,honest,forgiving,kind,compassionate,generous
good,forgiving,respected,kind,fair,respectful
honesty,responsible,understanding,integrity,character,engaged
strong,determined,friendly,happy,independant,loving
successful,extrovert,warm-hearted,creative,generous,funny
dependable,successful,playful,tough,smart,couragous
helpful,beneficial,inspirational,frugal,happy,healthy
patient,confident,creative,wise,kind,healthy
rich,important,happy,outgoing,fun,freindly
successful,hard-working,smart,compassionate,honest,trustworthy
happy,friendly,dependable,helpful,productive,compassionate
kind,caring,free,compassionate,independent,empathetic
generous,sympathetic,friendly,kind,honest,brave
kind,sucucessful,determined,forgiving,helpful,charitable
generous,heartfelt,daring,helpful,caring,giving
loyal,honest,leader,encouraging,kind,calm
kind,happy,successful,self sufficient,determined,selfless
successful,independent,wise,caring,responsible,sympathetic
kind,fun,friendly,considerate ,caring,compassionate 
compassionate,sexy,honest,amazing,rich,popular
loving,trusting,daring,caring,caring,honest
caring ,unbais,curious,compassionate ,hardworking,passionate
kind,loved,successful,trustworthy,responsible,intelligent
kind,smart,wise,kind,compassionate,good
kind,compassionate,intelligent,courageous,hardworking,loyal
holy,productive,healer,conciousentous,clever,helpful
creative,giving,funny,honest,caring,responsible
patient,kind,fun,carefree,generous,intelligent
humble,cool,strong,nice,nice,smart
honest,altruistic,risk-taking,stoic,daring,friendlier
determined,successful,brilliant,disciplined,kind,considerate
smart,successful ,fair,moral,creative,organized 
confident,healthy,loyal,selfless,diligent,motivated
loyal ,loving ,respectful ,forgiving ,outgoing ,nice 
intelligent,healthy,memorable,sustainable,capable,strong
wise,loved,loving,selfless,caring,mature
caring,moral,understanding,compassionate,honest,spiritual
humble,blessed,a great mother,good,happy,smart
kind,giving,loyal,calm,loving,honest
accomplished,knowledgeable ,self reliant,ambitious ,caring,empathy
joyful ,forgiving,calm,responsible,caring,motherly
kind,funny,healthy,helpful,mature,confident
generous,successful,warm,loving,helpful,assertive
kind,creative,fun,responsible,trustworthy,successful
unselfish,loving,wise,kind,wealthy,healthy
happy,thoughtful,wistful,patient,kind ,compasionate
kind,grateful,critical thinker,positive,open minded,friendly
kind,generous,patient,forgiving,hardworking,loyal
compassionate,understanding,introspective,hardworking,resiliant,empathetic
patient,wise,kind,humble,caring,selfless
determined,successful,wise,honest,patient],socialable
honest,loving,wise,determined,kind,loyal
confident,nice,hopeful,leader,energetic,funny
rich,loved,caring,sucessful,patient,kind
successful,fun,interesting,thoughtful,courteous,reliable
giving,peaceful,concerned,responsible,independent,non-judgemental
quiet,happy,mature,nice,unique,honest
artistic,good,happy,polite,honest,sociable
confident,compassionate,motivated,intelligent,successful,brave
healthy,faithful,contemplative,disciplined,encouraging,nonjudgemental
intelligent,responsible,dependable,responsible,friendly,reliable
compassion,open,positive,kind,ambitious,honest
successful,wise,ambitious,hard-working,responsible,honest
smart,funny,cool,quirky,honest,innovative
hopeful,gracious,polite,honest,intelligent,strong
non-judgemental,successful,empathetic,wise,loving,strong
calm,wise,funny,responsible,charitable,patient
artistic,kind,successful,patient,athletic,smart
honest,couragous,strong,loyal,strong,independant
great,helpful,wanted,selfless,inspirational,good
love,original,quick,different,cheerful,racy
disciplined ,charismatic ,passionate ,fearless,studious,dedicated
generous,loving,charitable,forgiving,hungry,honest
compassionate,fair,humorous,grateful,patient,giving
rich,kin,highbrow,kind,charitable,kind
successful,well read,father,considerate,good friend,happy
brave,smart,warm,honest,loyal,patient
grateful,hard worker,funny,kind,smart,generous
kind,smart,resourceful,forgiving,caring,motivated
good,wealthy,honest,smart,brave,skinny
smart,smart,brave,independant,courageous,friendly
peaceful,godly,satisfied,independent,honest,artistic
appreciative,fun,charming,diligent,successful,efficient
successful,skilled,rich,reliable,courageous,caring
dependable,productive,organized,reliable,honest,understanding
successful,independent,friendly,helpful,kind,compassionate
caring ,retired,retired,loving,hardworking ,strong
generous,enthusiastic,loving,successful,happier,kind
honost,accepting,patient,caring,loving,christian
kind,successful,healthy,outgoing,talkative,honest
strong,beautiful,positive,giving,funny,charming
kind,empathetic,helpful,dilligent,hard-working,open to doing favors
accomplished,renowned,happy,disciplined,ambitious,honest
patient,generous,considerate,respectful ,ambitious ,compassionate
confident,independent,content,honest,patient,trustworthy
thin,homemaker,fit,happy,active,organized
benvolent,truthful,humble,generous,kind,loyal
kind,intelligent,artistic,relaxed,compassionate,hardworking
humble,patient,empathetic,kind,generous,organized
honest,famous,healthy,disciplined,spiritual,happy
helpful,elderly,responsible,wealthy,stable,friendly
generous,considerate ,inspiring,passionate ,logical ,informed
honest,loving,consistant,reliant,nice,TRUE
smart,successful,caring,nice,hardworking,loving
kind,intelligent,generous,honest,open,reserved
loving,wealthy,careful,caring,hardworking,smart
empathetic ,,understanding,generous,honest,helpful
patient,grateful,assertive,kind,attentive,happy
successful,helpful,talented,responsible,respectable,kind
healthy,loyal,fair,honest,tolerent,trustworthy
good,successful,old,nice,helpful,curious
loyal,giving,hardworking,kind,humble,caring
patient,rational,caring,empathetic,calm,considerate
loving,fatherly,afluent,giving,fun,forgiving
successful ,financially independent ,secure,happy,caring,healthy
generous,a friend,inspirational,kind,thoughtful,fair
wealthy,approachable,wise,intelligent,confident,strong
independent,successful,brave,kind,sensitive,generous
forgiving,married,wealthy,successful ,happy,patient
couragour,loving,creative,brave,kind,outgoing
strong,literate,studious,responsible,ethical,truthful
honest,optimistic,dedicated,trustworthy,friendly,forgiving
astronaut,successful,warm,scientist,nice,honest
honest,loyal,charitable,reliable,caring,hardworking
genuine,successful,relaxed,forgiving,understanding,motherly
warm,successful,spiritual,forgiving,honest,kind
generous,wise,conscientious,patient,friendly,sociable
brave,independent,outgoing,responsible,compassionate,assertive
